Data;20740 - Taxa média de juros das operações de crédito com recursos livres - Pessoas físicas - Total - % a.a.;20742 - Taxa média de juros das operações de crédito com recursos livres - Pessoas físicas - Crédito pessoal não consignado total - % a.a.;20748 - Taxa média de juros das operações de crédito com recursos livres - Pessoas físicas - Crédito pessoal total - % a.a.;22024 - Taxa média de juros das operações de crédito com recursos livres - Pessoas físicas - Cartão de crédito total - % a.a.
01/2020;45,72 ;103,59 ;39,29 ;67,60
02/2020;46,86 ;106,56 ;40,14 ;72,80
03/2020;46,38 ;94,74 ;37,35 ;77,67
04/2020;43,99 ;86,35 ;34,69 ;78,49
05/2020;42,86 ;86,51 ;34,58 ;75,71
06/2020;40,15 ;84,99 ;33,82 ;66,30
07/2020;39,09 ;82,32 ;32,64 ;66,65
08/2020;38,29 ;70,29 ;29,96 ;63,71
09/2020;37,45 ;69,53 ;29,43 ;61,32
10/2020;38,37 ;77,05 ;31,68 ;60,38
11/2020;37,30 ;80,30 ;31,61 ;57,19
12/2020;36,22 ;73,25 ;30,20 ;55,29
01/2021;38,50 ;84,84 ;33,06 ;57,75
02/2021;39,23 ;84,45 ;33,10 ;59,84
03/2021;39,90 ;85,21 ;33,59 ;61,33
04/2021;40,40 ;86,25 ;34,39 ;61,65
05/2021;39,03 ;80,70 ;32,84 ;58,65
06/2021;39,06 ;79,84 ;32,56 ;58,48
07/2021;38,81 ;76,99 ;32,11 ;58,28
08/2021;39,61 ;79,87 ;33,15 ;58,38
09/2021;40,36 ;77,41 ;33,05 ;59,98
10/2021;42,33 ;83,60 ;35,40 ;61,45
11/2021;43,53 ;84,37 ;36,31 ;60,01
12/2021;44,21 ;85,28 ;37,60 ;60,61
01/2022;45,51 ;79,81 ;37,72 ;64,54
02/2022;47,28 ;83,40 ;38,76 ;70,05
03/2022;48,70 ;87,95 ;40,67 ;70,59
04/2022;49,06 ;84,19 ;40,03 ;73,25
05/2022;49,56 ;86,28 ;40,57 ;73,62
06/2022;50,65 ;87,41 ;41,27 ;75,69
07/2022;52,44 ;86,50 ;41,22 ;82,01
08/2022;53,10 ;85,30 ;40,99 ;84,53
09/2022;52,77 ;81,58 ;40,21 ;85,69
10/2022;55,54 ;83,43 ;42,35 ;91,37
11/2022;56,23 ;86,35 ;41,95 ;95,16
12/2022;54,53 ;81,94 ;40,92 ;90,11
01/2023;55,35 ;84,24 ;41,65 ;90,94
02/2023;56,98 ;86,67 ;42,23 ;97,19
03/2023;57,39 ;88,01 ;42,16 ;98,46
04/2023;59,25 ;92,42 ;43,07 ;103,71
05/2023;58,60 ;91,47 ;42,85 ;101,86
06/2023;57,79 ;91,25 ;42,75 ;99,81
