data,endividamento,endividamento_financeiro,inadimplencia,inadimplencia_itau,poupanca,consumo,credito,ggr_bets_offshore_anual_bi,ggr_bets_nacional_anual_bi,ggr_bets_total_anual_bi,ggr_bets_estimativa
2010-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-04-01,0.5899999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-07-01,0.7099999999999973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-10-01,0.8200000000000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-01,0.5199999999999996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-04-01,-0.00999999999999801,NA,0.16999999999999993,NA,NA,NA,NA,NA,NA,NA,NA
2011-07-01,0.3099999999999987,NA,0.2400000000000002,NA,NA,NA,NA,NA,NA,NA,NA
2011-10-01,-0.129999999999999,NA,0.1899999999999995,NA,NA,NA,NA,NA,NA,NA,NA
2012-01-01,-0.129999999999999,NA,0.14000000000000057,NA,NA,NA,NA,NA,NA,NA,NA
2012-04-01,0.04999999999999716,NA,0.0699999999999994,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-01,-0.35999999999999943,NA,-0.019999999999999574,0.25,NA,NA,NA,NA,NA,NA,NA
2012-10-01,0.03999999999999915,NA,-0.3100000000000005,-0.6399999999999988,NA,NA,NA,NA,NA,NA,NA
2013-01-01,-0.34999999999999787,NA,-0.14999999999999947,-0.22000000000000064,NA,NA,NA,NA,NA,NA,NA
2013-04-01,-0.35999999999999943,NA,-0.33000000000000007,-0.2500000000000009,NA,NA,NA,NA,NA,NA,NA
2013-07-01,-0.3500000000000014,NA,-0.16999999999999993,-0.40999999999999925,NA,NA,NA,NA,NA,NA,NA
2013-10-01,-0.5599999999999987,NA,-0.3600000000000003,-0.28000000000000025,NA,NA,NA,NA,NA,NA,NA
2014-01-01,-0.4400000000000013,NA,-0.009999999999999787,-0.35000000000000053,NA,NA,NA,NA,NA,NA,NA
2014-04-01,-0.2699999999999996,NA,-0.07000000000000028,-0.21999999999999975,NA,NA,0.009559602997446959,NA,NA,NA,NA
2014-07-01,-0.25,NA,-0.03999999999999959,-0.33999999999999897,NA,NA,0.02502197384045779,NA,NA,NA,NA
2014-10-01,-0.07000000000000028,NA,-0.27,-0.3000000000000007,NA,NA,0.02648129003287636,NA,NA,NA,NA
2015-01-01,-0.05999999999999872,NA,0.009999999999999787,-0.1299999999999999,NA,NA,-0.031812435519794846,NA,NA,NA,NA
2015-04-01,-0.14000000000000057,NA,-0.009999999999999787,0.09999999999999964,-0.05156599596740108,NA,-0.02214686118300868,NA,NA,NA,NA
2015-07-01,0.16999999999999815,NA,0.29000000000000004,0.5100000000000007,-0.03615271408063947,NA,-0.02013756116924803,NA,NA,NA,NA
2015-10-01,-0.6899999999999977,NA,0.27999999999999936,0.4299999999999997,-0.02895635879425562,NA,-0.020126973765515643,NA,NA,NA,NA
2016-01-01,-0.5,NA,0.03000000000000025,0.14999999999999947,-0.06271185298900406,NA,-0.04378466416466864,NA,NA,NA,NA
2016-04-01,-0.46000000000000085,NA,-0.20000000000000018,-0.04999999999999982,-0.04391121792472674,NA,-0.026067612726425438,NA,NA,NA,NA
2016-07-01,-0.5,NA,0.13000000000000078,-0.20000000000000018,-0.006833358227384068,NA,-0.010975650214552601,NA,NA,NA,NA
2016-10-01,-0.28000000000000114,NA,-0.23000000000000043,-0.14999999999999947,0.024519378399729064,NA,-0.00241412152991316,NA,NA,NA,NA
2017-01-01,-0.2699999999999996,NA,0.05999999999999961,-0.2999999999999998,-0.02077268572435287,NA,-0.025918128756361014,NA,NA,NA,NA
2017-04-01,-0.33999999999999986,NA,-0.14999999999999947,-0.08999999999999986,0.02063306045011082,NA,-0.008157112892911655,NA,NA,NA,NA
2017-07-01,-0.08999999999999986,NA,0.020000000000000018,-0.07000000000000028,0.018747829315350018,NA,-0.003079602669512127,NA,NA,NA,NA
2017-10-01,0.10999999999999943,NA,-0.3500000000000001,-0.2400000000000002,0.05522724817716984,NA,0.05131270916992747,NA,NA,NA,NA
2018-01-01,0.08000000000000185,NA,0.1200000000000001,-0.2999999999999998,0.013077435194690068,NA,-0.007880714120387822,NA,NA,NA,NA
2018-04-01,0.41000000000000014,NA,-0.18000000000000016,-0.08999999999999986,0.020768626780556687,NA,1.6916773663311346e-4,NA,NA,NA,NA
2018-07-01,0.2099999999999973,NA,-0.04999999999999982,0.019999999999999574,0.03157192490967731,NA,0.01799754797329456,NA,NA,NA,NA
2018-10-01,0.8800000000000026,NA,-0.17000000000000037,-0.08000000000000007,0.029480918112993137,NA,0.05126935993053472,NA,NA,NA,NA
2019-01-01,0.509999999999998,NA,0.11000000000000032,-0.019999999999999574,-0.016802076690979106,NA,0.005146292753224202,NA,NA,NA,NA
2019-04-01,0.7600000000000016,NA,-0.010000000000000231,0.0699999999999994,-1.1561583191443958e-4,NA,0.023607496487622726,NA,NA,NA,NA
2019-07-01,0.6600000000000001,NA,0.20000000000000018,0.1900000000000004,0.01579857562307474,NA,0.030208537844311323,NA,NA,NA,NA
2019-10-01,0.370000000000001,NA,-0.040000000000000036,0.13999999999999968,0.013643845110003383,NA,0.02528717207700737,NA,NA,NA,NA
2020-01-01,0.18999999999999773,NA,0.43999999999999995,0.3200000000000003,0.02898735041414824,NA,-0.012564072280122573,NA,NA,NA,NA
