Data;25462 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas físicas - Total - % a.m.;25470 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas físicas - Crédito pessoal total - % a.m.;25479 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas físicas - Cartão de crédito total - % a.m.
10/2022;3,75 ;2,99 ;5,56
11/2022;3,79 ;2,96 ;5,73
12/2022;3,69 ;2,90 ;5,50
01/2023;3,74 ;2,94 ;5,54
02/2023;3,83 ;2,98 ;5,82
03/2023;3,85 ;2,97 ;5,88
04/2023;3,95 ;3,03 ;6,11
05/2023;3,92 ;3,02 ;6,03
06/2023;3,87 ;3,01 ;5,94
07/2023;3,83 ;3,00 ;5,85
08/2023;3,80 ;2,98 ;5,82
09/2023;3,78 ;2,96 ;5,82
10/2023;3,73 ;2,92 ;5,71
11/2023;3,71 ;2,98 ;5,53
12/2023;3,66 ;2,98 ;5,45
01/2024;3,57 ;2,91 ;5,20
02/2024;3,59 ;2,93 ;5,28
03/2024;3,63 ;2,99 ;5,36
04/2024;3,60 ;2,98 ;5,27
05/2024;3,59 ;2,98 ;5,24
06/2024;3,59 ;2,98 ;5,26
07/2024;3,56 ;3,04 ;5,10
08/2024;3,54 ;2,97 ;5,11
09/2024;3,57 ;2,97 ;5,20
10/2024;3,57 ;3,06 ;5,08
11/2024;3,62 ;3,11 ;5,10
12/2024;3,61 ;3,20 ;4,91
01/2025;3,68 ;3,20 ;5,02
02/2025;3,82 ;3,34 ;5,34
03/2025;3,83 ;3,34 ;5,42
04/2025;3,90 ;3,40 ;5,47
05/2025;3,94 ;3,37 ;5,62
06/2025;3,96 ;3,45 ;5,59
07/2025;3,91 ;3,39 ;5,51
08/2025;3,93 ;3,40 ;5,58
09/2025;3,92 ;3,38 ;5,57
10/2025;3,95 ;3,40 ;5,62
11/2025;4,05 ;3,59 ;5,67
12/2025;4,02 ;3,68 ;5,46
01/2026;4,06 ;3,71 ;5,51
02/2026;4,11 ;3,64 ;5,80
03/2026;4,09 ;3,71 ;5,67
04/2026;4,15 ;3,83 ;5,69
05/2026;4,14 ;3,74 ;5,79
06/2026;4,21 ;3,85 ;5,83
Fonte;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT
