Data;29034 - Comprometimento de renda das famílias com o serviço da dívida com o Sistema Financeiro Nacional - Com ajuste sazonal (RNDBF) - %;29035 - Comprometimento de renda das famílias com o serviço da dívida com o Sistema Financeiro Nacional exceto crédito habitacional - Com ajuste sazonal (RNDBF) - %;29264 - Comprometimento de renda das famílias com juros da dívida com o Sistema Financeiro Nacional - Sem ajuste sazonal (RNDBF) - %
06/2022;25,96 ;24,05 ;8,42
07/2022;26,50 ;24,55 ;8,36
08/2022;26,91 ;24,98 ;8,60
09/2022;27,17 ;25,15 ;8,99
10/2022;27,21 ;25,18 ;9,38
11/2022;27,32 ;25,31 ;9,44
12/2022;27,57 ;25,48 ;9,00
01/2023;27,67 ;25,56 ;9,12
02/2023;27,69 ;25,63 ;9,37
03/2023;27,71 ;25,64 ;9,95
04/2023;27,81 ;25,71 ;9,96
05/2023;27,96 ;25,85 ;9,96
06/2023;27,78 ;25,73 ;9,65
07/2023;27,33 ;25,30 ;9,18
08/2023;26,89 ;24,89 ;9,06
09/2023;26,78 ;24,72 ;9,34
10/2023;26,79 ;24,70 ;9,69
11/2023;26,49 ;24,42 ;9,50
12/2023;25,84 ;23,66 ;8,69
01/2024;25,72 ;23,60 ;8,71
02/2024;25,83 ;23,78 ;8,88
03/2024;26,13 ;24,01 ;9,54
04/2024;26,13 ;24,01 ;9,38
05/2024;26,02 ;23,91 ;9,25
06/2024;26,38 ;24,34 ;9,10
07/2024;26,53 ;24,47 ;8,87
08/2024;26,73 ;24,64 ;8,99
09/2024;26,49 ;24,39 ;9,24
10/2024;26,39 ;24,28 ;9,52
11/2024;26,39 ;24,28 ;9,40
12/2024;26,80 ;24,49 ;8,95
01/2025;26,71 ;24,49 ;9,07
02/2025;26,85 ;24,62 ;9,34
03/2025;26,96 ;24,76 ;10,06
04/2025;27,12 ;24,91 ;10,06
05/2025;27,19 ;24,99 ;10,04
06/2025;27,17 ;25,09 ;9,83
07/2025;27,32 ;25,19 ;9,63
08/2025;27,55 ;25,41 ;9,83
09/2025;27,77 ;25,55 ;10,24
10/2025;27,92 ;25,68 ;10,66
11/2025;27,92 ;25,68 ;10,51
12/2025;28,12 ;25,75 ;10,00
01/2026;28,26 ;25,93 ;10,19
02/2026;28,30 ;25,99 ;10,47
03/2026;28,21 ;25,92 ;11,03
04/2026;28,36 ;26,06 ;10,99
05/2026;28,48 ;26,18 ;10,92
Fonte;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT
