Data;21084 - Inadimplência da carteira de crédito - Pessoas físicas - Total - %;21112 - Inadimplência da carteira de crédito com recursos livres - Pessoas físicas - Total - %;21113 - Inadimplência da carteira de crédito com recursos livres - Pessoas físicas - Cheque especial - %;21114 - Inadimplência da carteira de crédito com recursos livres - Pessoas físicas - Crédito pessoal não consignado total - %;21115 - Inadimplência da carteira de crédito com recursos livres - Pessoas físicas - Crédito pessoal não consignado vinculado à composição de dívidas - %;21116 - Inadimplência da carteira de crédito com recursos livres - Pessoas físicas - Crédito pessoal consignado para trabalhadores do setor privado - %;29991 - Inadimplência da carteira de crédito com recursos livres - Pessoas físicas - Crédito pessoal não consignado com garantias reais - %;29992 - Inadimplência da carteira de crédito com recursos livres - Pessoas físicas - Crédito pessoal não consignado sem garantias reais - %
05/2016;4,37 ;6,40 ;14,89 ;10,22 ;17,84 ;5,51 ;-;-
06/2016;4,10 ;6,23 ;14,69 ;9,64 ;17,63 ;5,31 ;-;-
07/2016;4,15 ;6,28 ;15,68 ;9,76 ;17,38 ;5,31 ;-;-
08/2016;4,17 ;6,29 ;16,11 ;9,83 ;17,69 ;5,13 ;-;-
09/2016;4,23 ;6,31 ;15,71 ;9,97 ;17,83 ;5,10 ;-;-
10/2016;4,23 ;6,24 ;15,69 ;9,29 ;17,79 ;5,10 ;-;-
11/2016;4,15 ;6,16 ;15,32 ;9,14 ;17,96 ;5,05 ;-;-
12/2016;4,00 ;6,13 ;17,43 ;9,22 ;17,78 ;5,02 ;-;-
01/2017;4,04 ;6,09 ;16,16 ;9,03 ;18,02 ;5,02 ;-;-
02/2017;4,06 ;6,00 ;15,96 ;8,73 ;17,40 ;4,88 ;-;-
03/2017;4,06 ;5,97 ;15,45 ;8,75 ;18,22 ;4,95 ;-;-
04/2017;4,09 ;5,94 ;15,02 ;8,58 ;18,16 ;4,76 ;-;-
05/2017;4,16 ;6,02 ;15,48 ;8,59 ;18,80 ;4,80 ;-;-
06/2017;3,91 ;5,84 ;15,21 ;8,17 ;18,31 ;4,63 ;-;-
07/2017;4,01 ;5,81 ;14,78 ;8,14 ;18,24 ;4,57 ;-;-
08/2017;3,99 ;5,81 ;15,71 ;8,47 ;18,45 ;4,51 ;-;-
09/2017;3,93 ;5,70 ;15,27 ;8,29 ;18,54 ;4,42 ;-;-
10/2017;3,93 ;5,64 ;14,82 ;8,40 ;18,61 ;4,37 ;-;-
11/2017;3,83 ;5,48 ;14,21 ;8,28 ;18,20 ;4,44 ;-;-
12/2017;3,58 ;5,31 ;16,24 ;7,91 ;17,55 ;4,38 ;-;-
01/2018;3,78 ;5,34 ;15,20 ;8,06 ;17,76 ;4,55 ;-;-
02/2018;3,76 ;5,23 ;13,48 ;7,85 ;17,28 ;4,41 ;-;-
03/2018;3,70 ;5,17 ;13,97 ;7,81 ;16,49 ;4,41 ;-;-
04/2018;3,68 ;5,16 ;13,30 ;7,91 ;16,70 ;4,30 ;-;-
05/2018;3,64 ;5,12 ;13,18 ;7,77 ;16,23 ;4,37 ;-;-
06/2018;3,52 ;5,04 ;13,30 ;7,63 ;15,66 ;4,43 ;-;-
07/2018;3,56 ;5,10 ;13,27 ;7,61 ;15,69 ;4,48 ;-;-
08/2018;3,55 ;5,07 ;14,13 ;7,57 ;15,76 ;4,43 ;-;-
09/2018;3,47 ;5,05 ;14,00 ;7,47 ;15,44 ;4,38 ;-;-
10/2018;3,43 ;5,01 ;14,09 ;7,47 ;15,46 ;4,36 ;-;-
11/2018;3,35 ;4,85 ;13,58 ;7,49 ;15,03 ;4,27 ;-;-
12/2018;3,30 ;4,88 ;15,36 ;7,42 ;15,22 ;4,39 ;-;-
01/2019;3,39 ;4,89 ;14,24 ;7,39 ;15,40 ;4,38 ;-;-
02/2019;3,35 ;4,78 ;13,23 ;7,25 ;14,97 ;4,16 ;-;-
03/2019;3,41 ;4,81 ;13,37 ;7,40 ;15,06 ;4,16 ;-;-
04/2019;3,41 ;4,81 ;13,36 ;7,38 ;15,15 ;4,12 ;-;-
05/2019;3,46 ;4,89 ;14,40 ;7,61 ;15,01 ;4,12 ;-;-
06/2019;3,40 ;4,87 ;14,05 ;7,76 ;14,74 ;3,99 ;-;-
07/2019;3,49 ;4,92 ;14,43 ;7,88 ;14,78 ;4,00 ;-;-
08/2019;3,53 ;4,95 ;14,73 ;7,64 ;14,55 ;3,95 ;-;-
09/2019;3,60 ;5,07 ;15,69 ;7,86 ;14,56 ;3,97 ;-;-
10/2019;3,58 ;5,07 ;16,18 ;7,90 ;14,46 ;3,95 ;-;-
11/2019;3,59 ;5,06 ;15,94 ;7,91 ;14,52 ;4,02 ;-;-
12/2019;3,56 ;5,10 ;17,57 ;8,13 ;14,55 ;4,14 ;-;-
01/2020;3,63 ;5,05 ;16,71 ;8,17 ;14,85 ;4,16 ;-;-
02/2020;3,72 ;5,17 ;15,47 ;8,08 ;15,04 ;4,22 ;-;-
03/2020;4,00 ;5,29 ;15,32 ;8,39 ;14,80 ;4,27 ;-;-
04/2020;4,13 ;5,60 ;15,99 ;8,62 ;14,30 ;4,27 ;-;-
05/2020;4,04 ;5,69 ;17,03 ;8,57 ;12,57 ;4,18 ;-;-
06/2020;3,67 ;5,39 ;16,64 ;7,91 ;10,46 ;4,20 ;-;-
07/2020;3,52 ;5,20 ;16,50 ;7,52 ;9,07 ;4,18 ;-;-
08/2020;3,35 ;4,95 ;15,92 ;7,03 ;7,67 ;4,26 ;-;-
09/2020;3,19 ;4,73 ;14,97 ;6,11 ;7,20 ;4,21 ;-;-
10/2020;3,11 ;4,59 ;13,37 ;5,94 ;7,40 ;4,22 ;-;-
11/2020;3,02 ;4,36 ;12,71 ;5,93 ;8,43 ;4,27 ;-;-
12/2020;2,89 ;4,23 ;13,44 ;5,36 ;10,14 ;4,33 ;-;-
01/2021;2,93 ;4,20 ;11,40 ;5,33 ;11,33 ;4,24 ;-;-
02/2021;2,97 ;4,13 ;10,43 ;5,28 ;12,01 ;4,24 ;-;-
03/2021;2,92 ;4,09 ;9,78 ;5,34 ;12,84 ;4,20 ;-;-
04/2021;2,95 ;4,10 ;9,44 ;5,41 ;13,64 ;4,10 ;-;-
05/2021;3,01 ;4,17 ;9,75 ;5,28 ;14,21 ;4,09 ;-;-
06/2021;2,91 ;4,10 ;9,45 ;5,20 ;12,96 ;4,03 ;-;-
07/2021;2,94 ;4,16 ;11,35 ;5,08 ;13,15 ;4,08 ;-;-
08/2021;2,96 ;4,20 ;10,17 ;5,17 ;13,07 ;4,10 ;-;-
09/2021;3,01 ;4,29 ;10,00 ;5,13 ;12,63 ;4,18 ;-;-
10/2021;2,99 ;4,31 ;9,72 ;5,16 ;12,99 ;4,18 ;-;-
11/2021;3,01 ;4,34 ;10,02 ;5,01 ;13,36 ;4,24 ;-;-
12/2021;3,05 ;4,45 ;11,51 ;5,21 ;12,66 ;4,63 ;-;-
01/2022;3,26 ;4,72 ;10,92 ;5,51 ;13,29 ;5,00 ;-;-
02/2022;3,38 ;4,81 ;11,08 ;5,57 ;12,88 ;4,80 ;-;-
03/2022;3,45 ;4,94 ;11,12 ;6,00 ;13,20 ;4,85 ;-;-
04/2022;3,54 ;5,13 ;11,11 ;6,19 ;14,18 ;4,84 ;-;-
05/2022;3,65 ;5,35 ;11,51 ;6,61 ;14,95 ;4,97 ;-;-
06/2022;3,57 ;5,34 ;11,56 ;6,86 ;14,46 ;4,67 ;-;-
07/2022;3,71 ;5,56 ;11,61 ;7,20 ;14,88 ;4,51 ;-;-
08/2022;3,78 ;5,72 ;12,53 ;7,59 ;14,85 ;5,40 ;-;-
09/2022;3,80 ;5,80 ;12,74 ;7,75 ;15,05 ;5,36 ;-;-
10/2022;3,89 ;5,91 ;12,53 ;7,89 ;15,45 ;4,35 ;-;-
11/2022;3,92 ;5,92 ;12,65 ;8,06 ;14,70 ;4,36 ;-;-
12/2022;3,94 ;6,02 ;13,55 ;8,14 ;16,15 ;4,60 ;-;-
01/2023;4,11 ;6,22 ;13,40 ;8,27 ;16,97 ;3,88 ;-;-
02/2023;4,16 ;6,25 ;12,00 ;8,15 ;16,97 ;3,81 ;-;-
03/2023;4,11 ;6,19 ;12,40 ;8,14 ;16,30 ;3,79 ;-;-
04/2023;4,26 ;6,35 ;12,63 ;8,15 ;17,36 ;3,88 ;-;-
05/2023;4,35 ;6,47 ;13,11 ;8,11 ;18,20 ;4,07 ;-;-
06/2023;4,25 ;6,42 ;12,96 ;8,08 ;18,93 ;4,05 ;-;-
07/2023;4,22 ;6,31 ;13,21 ;7,89 ;18,04 ;4,10 ;-;-
08/2023;4,12 ;6,20 ;12,29 ;7,55 ;17,71 ;4,21 ;-;-
09/2023;4,00 ;6,07 ;11,93 ;7,29 ;17,15 ;5,25 ;-;-
10/2023;3,97 ;6,05 ;12,80 ;7,11 ;17,31 ;5,43 ;-;-
11/2023;3,88 ;5,91 ;15,60 ;6,83 ;16,91 ;5,75 ;-;-
12/2023;3,75 ;5,73 ;13,63 ;6,75 ;15,69 ;5,94 ;-;-
01/2024;3,76 ;5,70 ;12,88 ;6,63 ;16,34 ;6,31 ;-;-
02/2024;3,76 ;5,66 ;12,13 ;6,49 ;16,76 ;6,66 ;-;-
03/2024;3,71 ;5,58 ;12,04 ;6,44 ;16,87 ;6,68 ;-;-
04/2024;3,75 ;5,63 ;11,51 ;6,48 ;17,72 ;6,50 ;-;-
05/2024;3,82 ;5,72 ;12,13 ;6,53 ;17,98 ;6,53 ;-;-
06/2024;3,71 ;5,59 ;12,37 ;6,48 ;17,85 ;6,53 ;-;-
07/2024;3,78 ;5,65 ;12,11 ;6,59 ;18,39 ;6,72 ;-;-
08/2024;3,82 ;5,65 ;11,80 ;6,50 ;18,35 ;6,66 ;-;-
09/2024;3,83 ;5,69 ;13,25 ;6,49 ;18,13 ;6,83 ;-;-
10/2024;3,79 ;5,59 ;11,69 ;6,41 ;18,07 ;7,82 ;-;-
11/2024;3,75 ;5,47 ;11,31 ;6,37 ;17,81 ;7,46 ;-;-
12/2024;3,63 ;5,40 ;12,65 ;6,46 ;18,04 ;7,39 ;-;-
01/2025;3,89 ;5,74 ;13,06 ;7,09 ;19,57 ;8,06 ;-;-
02/2025;3,96 ;5,81 ;13,02 ;7,37 ;18,97 ;7,97 ;-;-
03/2025;4,03 ;5,91 ;12,60 ;7,32 ;18,00 ;7,74 ;-;-
04/2025;4,25 ;6,21 ;12,94 ;7,67 ;19,21 ;7,17 ;-;-
