Serie,N,Inicio,Fim,Media,Mediana,Variancia,Desvio_Padrao
Selic_Meta,193,2010-08-01,2026-08-01,10.128426158598788,10.943548387096774,13.45132006477554,3.6676041314154313
Taxa_Media_Juros_Credito,184,2011-03-01,2026-06-01,52.12413043478261,51.875,79.51421891185555,8.91707457139703
Inadimplencia_PF_Total,184,2011-03-01,2026-06-01,4.081304347826086,3.995,0.45868353528153955,0.6772617922794254
Inadimplencia_PF_Total_modalidades,184,2011-03-01,2026-06-01,4.081304347826086,3.995,0.45868353528153955,0.6772617922794254
Inadimplencia_Recursos_Livres_Total,184,2011-03-01,2026-06-01,5.772663043478261,5.735,0.6456469678070801,0.803521603821005
Inadimplencia_Cheque_Especial,184,2011-03-01,2026-06-01,13.717228260869565,13.66,3.2661294339510576,1.807243601164784
Inadimplencia_Credito_Pessoal_Nao_Consignado,184,2011-03-01,2026-06-01,7.752880434782608,7.785,1.478931002019482,1.2161130712312411
Inadimplencia_Composicao_Dividas,184,2011-03-01,2026-06-01,16.835760869565217,17.4,7.289414718460441,2.6998916123541776
Inadimplencia_Consignado_Privado,184,2011-03-01,2026-06-01,5.118152173913043,5.02,0.9144839985744833,0.9562865671829147
Inadimplencia_Nao_Consignado_Com_Garantia,8,2025-11-01,2026-06-01,2.36375,2.2800000000000002,0.04939821428571424,0.22225709051842246
Inadimplencia_Nao_Consignado_Sem_Garantia,8,2025-11-01,2026-06-01,13.235,13.285,0.7064857142857143,0.8405270455409001
Serasa_Inadimplentes_milhoes,125,2016-03-01,2026-07-01,66.92105578001917,63.85141,50.24008092912668,7.0880237675339854
Serasa_Dividas_Negativadas_milhoes,125,2016-03-01,2026-07-01,247.730572936,229.393,1278.8980496350077,35.761684099536026
Serasa_Dividas_Negativadas_R_bilhoes,125,2016-03-01,2026-07-01,310.6180528816348,255.077081287605,10130.009739604544,100.64794950521618
Serasa_Dividas_Media_por_CPF,125,2016-03-01,2026-07-01,3.6919602178585196,3.7365580289799674,0.03853146766727041,0.19629433936634652
Serasa_Divida_Media_R,125,2016-03-01,2026-07-01,4546.732535252891,3995.247990590334,861591.938500507,928.2197684279877
Serasa_Ticket_Medio_R,125,2016-03-01,2026-07-01,1226.9748535853869,1163.5225164813558,42483.43363190988,206.1150980202806
Serasa_Populacao_Adulta_pct,117,2016-11-01,2026-07-01,42.79667057909268,41.23367736198536,11.078011361373118,3.328364667726948
Serasa_Genero_F_milhoes,91,2019-01-01,2026-07-01,34.82584992307692,34.619754,12.406870533784227,3.5223387874797374
Serasa_Genero_M_milhoes,91,2019-01-01,2026-07-01,34.69215957142857,34.436886,9.621066880779981,3.1017844671704675
Serasa_Ate_25_milhoes,91,2019-01-01,2026-07-01,8.665530835164835,8.82357,0.2982349936792948,0.5461089576991892
Serasa_26_40_milhoes,91,2019-01-01,2026-07-01,24.587970175824175,24.464351,3.042700780164969,1.744333907302432
Serasa_41_60_milhoes,91,2019-01-01,2026-07-01,24.014710054945056,23.621664,5.8165669452121636,2.411755987908429
Serasa_Acima_60_milhoes,91,2019-01-01,2026-07-01,12.24979842857143,12.020492,4.293520460311203,2.0720811905693277
PNAD_Taxa_Desocupacao_pct,172,2012-03-01,2026-06-01,9.595348837209302,8.75,8.036937304501564,2.8349492595991137
PNAD_Rendimento_Medio_R,172,2012-03-01,2026-06-01,3350.2383720930234,3323,23285.45746634027,152.59573213671564
