"","Selic_Meta","Itau_NPL90_Total_pct","Serasa_Populacao_Adulta_pct","Inadimplencia_PF_Total_modalidades"
"Selic_Meta",1,0.126955769097496,0.813801468209646,0.710079707898517
"Itau_NPL90_Total_pct",0.126955769097496,1,-0.204191752561647,0.0648939718520252
"Serasa_Populacao_Adulta_pct",0.813801468209646,-0.204191752561647,1,0.851801624254121
"Inadimplencia_PF_Total_modalidades",0.710079707898517,0.0648939718520252,0.851801624254121,1
