"","Selic_Meta","Taxa_Media_Juros_Credito","Inadimplencia_PF_Total","Inadimplencia_PF_Total_modalidades","Inadimplencia_Recursos_Livres_Total","Inadimplencia_Cheque_Especial","Inadimplencia_Credito_Pessoal_Nao_Consignado","Inadimplencia_Composicao_Dividas","Inadimplencia_Consignado_Privado","Inadimplencia_Nao_Consignado_Com_Garantia","Inadimplencia_Nao_Consignado_Sem_Garantia","Serasa_Inadimplentes_milhoes","Serasa_Dividas_Negativadas_milhoes","Serasa_Dividas_Negativadas_R_bilhoes","Serasa_Dividas_Media_por_CPF","Serasa_Divida_Media_R","Serasa_Ticket_Medio_R","Serasa_Populacao_Adulta_pct","Serasa_Genero_F_milhoes","Serasa_Genero_M_milhoes","Serasa_Ate_25_milhoes","Serasa_26_40_milhoes","Serasa_41_60_milhoes","Serasa_Acima_60_milhoes","PNAD_Taxa_Desocupacao_pct","PNAD_Rendimento_Medio_R","Itau_NPL90_Total_pct","Itau_NPL90_Brasil_pct","Itau_NPL90_PF_Brasil_pct","Itau_NPL90_MPME_Brasil_pct","Itau_NPL90_Grandes_Empresas_Brasil_pct","Itau_Carteira_PF_Total_R_milhoes","Itau_Carteira_Cartao_Credito_R_milhoes","Itau_Carteira_Credito_Pessoal_R_milhoes","Itau_Carteira_Credito_Consignado_R_milhoes","Itau_Carteira_Veiculos_R_milhoes","Itau_Carteira_Credito_Imobiliario_R_milhoes","Itau_Carteira_MPME_R_milhoes","Itau_Cobertura_Estagio3_PF_Brasil_pct","Itau_Cobertura_Estagio3_PJ_Brasil_pct","Itau_Cobertura_Estagio3_Brasil_pct","Itau_Cobertura_Estagio3_America_Latina_pct","Itau_Cobertura_Estagio3_Total_pct","Itau_NPL_Creation_Total_R_milhoes","Itau_NPL_Creation_Varejo_Brasil_R_milhoes","Itau_NPL_Creation_Atacado_Brasil_R_milhoes","Itau_NPL_Creation_America_Latina_R_milhoes","PIB_Valores_Correntes_R_milhoes","GGR_Offshore_R_bilhoes","GGR_Nacional_R_bilhoes","GGR_Total_R_bilhoes"
"Inadimplencia_Nao_Consignado_Sem_Garantia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Serasa_Inadimplentes_milhoes",0.564979355559047,0.152509037456394,0.726883149846597,0.726883149846597,0.68474703419338,0.0506042659980749,0.245807848137639,0.482500521256532,0.795488671498697,NA,NA,1,0.954193013910642,0.986632282167368,0.543018902700645,0.982167521812721,0.990671059416616,0.993001260415245,0.998992341744454,0.998706073510886,0.895275584576332,0.987518979543341,0.997510799605092,0.986850547287096,-0.919640189428134,0.852359315031478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.160373966271782,0.731234220766558,0.952234632614719
"Serasa_Dividas_Negativadas_milhoes",0.666448744463203,0.398094572718951,0.876248202014119,0.876248202014119,0.834661527082364,0.275167344311643,0.488279571006435,0.665581620549432,0.867195793213488,NA,NA,0.954193013910642,1,0.984874734102878,0.768047284223028,0.985737689938316,0.926113224209591,0.981122221411336,0.985902503005591,0.996095950550634,0.900607904905754,0.995871538729733,0.988594433547617,0.962750402536389,-0.904527440531321,0.880333930124315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.168804446661882,0.731976485250294,0.96015928396489
"Serasa_Dividas_Negativadas_R_bilhoes",0.595222322932578,0.253718829751498,0.796904401633927,0.796904401633927,0.745718971517301,0.145412208408595,0.346259815027809,0.56595513900603,0.852247926317437,NA,NA,0.986632282167368,0.984874734102878,1,0.653331503478076,0.998574120080754,0.975346420033093,0.993816209802384,0.991070718036856,0.994594284230852,0.862829707073614,0.985029554033152,0.995775176219087,0.979026657344184,-0.907441255353796,0.886218627577238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.133051487353995,0.774769723404064,0.977897633809535
"Serasa_Dividas_Media_por_CPF",0.701074843863949,0.816139988605258,0.901296096444973,0.901296096444973,0.89199572297564,0.649730818011158,0.839593077791127,0.86987656317044,0.744444022515507,NA,NA,0.543018902700645,0.768047284223028,0.653331503478076,1,0.668226846092804,0.484309312301318,0.633680507486658,0.932512167631889,0.959372403874369,0.905786823865813,0.976997653556848,0.937292419327127,0.891435791363379,-0.603588406746461,0.634904700036289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.231116498979597,0.684428857534894,0.959459213885256
"Serasa_Divida_Media_R",0.606439185763174,0.271669376829466,0.79384456802759,0.79384456802759,0.749064336503886,0.142071356033204,0.343898721388174,0.593472003556618,0.867695160764175,NA,NA,0.982167521812721,0.985737689938316,0.998574120080754,0.668226846092804,1,0.973973335450478,0.990398378435273,0.989808219022811,0.992414337270493,0.863177700937857,0.980683882669969,0.993119257230721,0.980306123081602,-0.915838390869021,0.885788018466519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.173021515406155,0.751097437002498,0.985078900018917
"Serasa_Ticket_Medio_R",0.515775467839275,0.0817366193614686,0.656684743741811,0.656684743741811,0.613893504938401,-0.0403599041337165,0.144365649743286,0.448768109631737,0.801116910518383,NA,NA,0.990671059416616,0.926113224209591,0.975346420033093,0.484309312301318,0.973973335450478,1,0.972586043036977,0.989254147670268,0.981133881861302,0.835035273107742,0.956781510013992,0.989445631239047,0.993602802010832,-0.906041715585967,0.842573300704705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.176818330900376,0.753699617950871,0.991182614582267
"Serasa_Populacao_Adulta_pct",0.615917178595455,0.252912755399351,0.796932144767235,0.796932144767235,0.755974554436394,0.150917158133991,0.353409782714319,0.554208459051875,0.822197081836639,NA,NA,0.993001260415245,0.981122221411336,0.993816209802384,0.633680507486658,0.990398378435273,0.972586043036977,1,0.99319077901704,0.999462427438596,0.913405744520468,0.996181974310402,0.992512801409649,0.972329394185511,-0.925278797812455,0.868971114110949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.154611378836042,0.724931050353322,0.9403401182142
"Serasa_Genero_F_milhoes",0.84963548580566,0.877350161941255,0.934806996857405,0.934806996857405,0.946950516212185,0.384838908784388,0.730993134537726,0.877641723443122,0.899752815444734,NA,NA,0.998992341744454,0.985902503005591,0.991070718036856,0.932512167631889,0.989808219022811,0.989254147670268,0.99319077901704,1,0.995417320624844,0.884001806287832,0.97969926364772,0.997735411109288,0.992647038522871,-0.925040335944432,0.815181373311195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.171427115081756,0.723642349530299,0.953051857527859
"Serasa_Genero_M_milhoes",0.836967370067277,0.896928428177116,0.952936983761054,0.952936983761054,0.957722628418727,0.454525203171148,0.779041374497042,0.883640780556544,0.895278974436709,NA,NA,0.998706073510886,0.996095950550634,0.994594284230852,0.959372403874369,0.992414337270493,0.981133881861302,0.999462427438596,0.995417320624844,1,0.905869244709111,0.993974174798505,0.994826654961949,0.977878887921564,-0.917897141162251,0.842037758586933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.148574745519626,0.739167910811467,0.951171550594628
"Serasa_Ate_25_milhoes",0.895440679253504,0.980928294819834,0.887064664508501,0.887064664508501,0.94374218564478,0.506361546556865,0.812399859295787,0.903848433922958,0.748888407369589,NA,NA,0.895275584576332,0.900607904905754,0.862829707073614,0.905786823865813,0.863177700937857,0.835035273107742,0.913405744520468,0.884001806287832,0.905869244709111,1,0.927225471186736,0.863026389289442,0.835077599481051,-0.926147711901728,0.687349548796457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.273752340841787,0.503041095770309,0.792613185284019
