Data_Trimestre,Selic_Meta,Itau_NPL90_Total_pct,Itau_NPL90_Brasil_pct,Itau_NPL90_PF_Brasil_pct,Itau_NPL90_MPME_Brasil_pct,Itau_NPL90_Grandes_Empresas_Brasil_pct,Itau_Carteira_PF_Total_R_milhoes,Itau_Carteira_Cartao_Credito_R_milhoes,Itau_Carteira_Credito_Pessoal_R_milhoes,Itau_Carteira_Credito_Consignado_R_milhoes,Itau_Carteira_Veiculos_R_milhoes,Itau_Carteira_Credito_Imobiliario_R_milhoes,Itau_Carteira_MPME_R_milhoes,Itau_Cobertura_Estagio3_PF_Brasil_pct,Itau_Cobertura_Estagio3_PJ_Brasil_pct,Itau_Cobertura_Estagio3_Brasil_pct,Itau_Cobertura_Estagio3_America_Latina_pct,Itau_Cobertura_Estagio3_Total_pct,Itau_NPL_Creation_Total_R_milhoes,Itau_NPL_Creation_Varejo_Brasil_R_milhoes,Itau_NPL_Creation_Atacado_Brasil_R_milhoes,Itau_NPL_Creation_America_Latina_R_milhoes
2024-01-01,11.35989010989011,,,,,,413434.264,130932.37500000001,62455.61,73453.79399999998,33797.628,112794.85500000001,232084.82119034175,,,,,,9039.43,8113.851000000001,203.46800000000002,722.11
2024-04-01,10.604395604395604,,,,,,418286.04199999996,130938.011,63891.542,74013.055,34844.896,114598.535,243570.51346520628,,,,,,10177.406999999996,8564.763999999997,253.76999999999998,1358.8709999999999
2024-07-01,10.532608695652174,,,,,,428727.827,133211.087,65857.108,74747.786,35883.102999999996,119028.73999999999,258935.7393343049,,,,,,8975.993,7927.367,91.252,957.373
2024-10-01,11.266304347826088,1.9572135629326521,2.0907258431064357,3.78461967307949,1.7368145696400181,0.12756491487481977,444763.978,142206.82899999997,65931.46399999999,74429.746,36521.217000000004,125674.72100000002,278817.11837697675,59.781289974285926,55.28146159905045,57.59526247832437,42.43009409257395,55.032370492107304,8195.916999999996,7241.06,92.41000000000001,862.4459999999999
2025-01-01,13.061111111111112,,,,,,448809.7469999999,138912.971,67349.38600000001,74065.507,36845.655000000006,131636.225,273155.7448807439,61.378022022997456,55.91682185053662,58.72029870012974,43.10060302849897,56.12583033275249,7748.711748932466,6847.2797306297925,-31.85036194733183,933.2823802500066
2025-04-01,14.57967032967033,,,,,,451904.712,141084.68399999998,67415.56199999999,72806.43799999998,36246.876000000004,134351.15,275362.8619266759,59.23602684684437,57.093882021648476,58.23207451453999,43.35033518659347,55.799404376677096,9441.395609335528,8408.633479180282,180.44938829525583,852.3127418599964
2025-07-01,15,,,,,,456394.42900000006,142184.115,68390.91399999999,72415.04799999998,36327.494999999995,137076.85499999998,278443.77021957206,59.582154267724896,57.79251146386396,58.73306174911625,40.1884271661091,55.91018518416334,9484.772999999997,8502.304999999998,352.512,629.9549999999999
2025-10-01,15,,,,,,474298.9390000001,153526.906,67400.976,75319.39699999998,36303.138999999996,141748.519,303064.61397394224,59.653887725773004,55.39942617768757,57.826042884242014,39.35314490066473,54.71934595215585,9964.236999999997,8692.961999999996,318.64900000000006,952.625
2026-01-01,14.963888888888889,1.9024627070783184,2.052465945192335,3.594870963688294,1.8506912013956476,0.09133396131920701,479474.461,150234.42099999997,68589.49499999998,78598.146,35670.204999999994,146382.192,302802.4242758477,59.27872589312301,52.154517201944664,56.01384623353572,39.67390560208462,53.55000345848397,9693.709943425429,9043.900255041292,294.8778828285812,355.4411362800026
2026-04-01,14.543956043956044,,,,,,487126.762,150432.014,68144.84299999998,81331.496,35055.198,152163.208,307417.5256112489,58.96131905406444,52.89556513909963,56.17655435290556,39.70236432718319,53.81922346248646,10657.366023859946,9595.051069667725,284.0874932622208,778.2274609299989
