Serie,Frequencia,Amostra,N,Inicio,Fim,Media,Mediana,Variancia,Desvio_Padrao
Itau_Cobertura_Estagio3_PJ_Brasil_pct,Trimestral,Observada,7,2024-10-01,2026-04-01,55.21916935054734,55.39942617768757,4.241826402240677,2.059569470117645
Itau_Cobertura_Estagio3_Total_pct,Trimestral,Observada,7,2024-10-01,2026-04-01,54.993766179832356,55.032370492107304,1.051874014458473,1.0256090943719605
Itau_NPL90_Brasil_pct,Trimestral,Observada,37,2024-10-01,2031-10-01,2.0528820226389635,2.029124555159855,0.0032916344986248505,0.057372767918454574
Itau_NPL90_Grandes_Empresas_Brasil_pct,Trimestral,Observada,37,2024-10-01,2031-10-01,0.07344512306016303,0.08312508137895099,3.169624391548602e-4,0.01780343896989737
Itau_NPL90_MPME_Brasil_pct,Trimestral,Observada,37,2024-10-01,2031-10-01,1.809637933203475,1.7368145696400181,0.034827103748044916,0.18662021259243308
Itau_NPL90_PF_Brasil_pct,Trimestral,Observada,37,2024-10-01,2031-10-01,3.667447351000263,3.634426838742752,0.002304011649666822,0.048000121350542664
Itau_NPL90_Total_pct,Trimestral,Observada,37,2024-10-01,2031-10-01,1.925088092320902,1.9069600638452286,5.37434279266847e-4,0.023182628825628188
Itau_NPL_Creation_America_Latina_R_milhoes,Trimestral,Observada,10,2024-01-01,2026-04-01,840.2643719320005,857.3793709299982,66852.70550897814,258.5589014305602
Itau_NPL_Creation_Atacado_Brasil_R_milhoes,Trimestral,Observada,10,2024-01-01,2026-04-01,203.9625402438726,228.619,14854.976616383708,121.88099366342443
Itau_NPL_Creation_Total_R_milhoes,Trimestral,Observada,10,2024-01-01,2026-04-01,9337.894032555336,9463.084304667762,782961.0945192105,884.8508882965596
Itau_NPL_Creation_Varejo_Brasil_R_milhoes,Trimestral,Observada,10,2024-01-01,2026-04-01,8293.717353451908,8455.46923959014,656961.6342793765,810.5316985037516
