"","Selic_Meta","Taxa_Media_Juros_Credito","Inadimplencia_PF_Total","Inadimplencia_PF_Total_modalidades","Inadimplencia_Recursos_Livres_Total","Inadimplencia_Cheque_Especial","Inadimplencia_Credito_Pessoal_Nao_Consignado","Inadimplencia_Composicao_Dividas","Inadimplencia_Consignado_Privado","Inadimplencia_Nao_Consignado_Com_Garantia","Inadimplencia_Nao_Consignado_Sem_Garantia","Serasa_Inadimplentes_milhoes","Serasa_Dividas_Negativadas_milhoes","Serasa_Dividas_Negativadas_R_bilhoes","Serasa_Dividas_Media_por_CPF","Serasa_Divida_Media_R","Serasa_Ticket_Medio_R","Serasa_Populacao_Adulta_pct","Serasa_Genero_F_milhoes","Serasa_Genero_M_milhoes","Serasa_Ate_25_milhoes","Serasa_26_40_milhoes","Serasa_41_60_milhoes","Serasa_Acima_60_milhoes","PNAD_Taxa_Desocupacao_pct","PNAD_Rendimento_Medio_R","Itau_NPL90_Total_pct","Itau_NPL90_Brasil_pct","Itau_NPL90_PF_Brasil_pct","Itau_NPL90_MPME_Brasil_pct","Itau_NPL90_Grandes_Empresas_Brasil_pct","Itau_Carteira_PF_Total_R_milhoes","Itau_Carteira_Cartao_Credito_R_milhoes","Itau_Carteira_Credito_Pessoal_R_milhoes","Itau_Carteira_Credito_Consignado_R_milhoes","Itau_Carteira_Veiculos_R_milhoes","Itau_Carteira_Credito_Imobiliario_R_milhoes","Itau_Carteira_MPME_R_milhoes","Itau_Cobertura_Estagio3_PF_Brasil_pct","Itau_Cobertura_Estagio3_PJ_Brasil_pct","Itau_Cobertura_Estagio3_Brasil_pct","Itau_Cobertura_Estagio3_America_Latina_pct","Itau_Cobertura_Estagio3_Total_pct","Itau_NPL_Creation_Total_R_milhoes","Itau_NPL_Creation_Varejo_Brasil_R_milhoes","Itau_NPL_Creation_Atacado_Brasil_R_milhoes","Itau_NPL_Creation_America_Latina_R_milhoes"
"Selic_Meta",1,0.718029972636475,0.472101979480522,0.472101979480522,0.614202592878831,0.117858070009677,0.470049406045683,0.552091243336214,0.51159772425149,NA,NA,0.536597857190835,0.642248587754586,0.564960622729361,0.669817505741353,0.57487605732146,0.479862549298931,0.711101991089572,0.834744751885422,0.822779286807726,0.873071611121782,0.81450250162388,0.795304253132859,0.815053162089134,-0.618490691373514,0.155918604342755,NA,NA,NA,NA,NA,0.853272104549139,0.820503867642213,0.820892097961019,0.312647747777665,0.342389383447187,0.890178572374225,0.783232246772614,-0.451789727258253,-0.0692557678946806,-0.171064206171601,-0.603733509009108,-0.240811387529086,0.366811920809237,0.503593887266992,0.528053998894157,-0.572054915900093
"Taxa_Media_Juros_Credito",0.718029972636475,1,0.161493854672908,0.161493854672908,0.356991434420346,0.461716250847669,0.612288950266034,0.308494376047826,0.263375039075165,NA,NA,0.0772557458718448,0.349709951188343,0.182578499885716,0.800636055723213,0.204420943088129,0.0015400619304514,0.363405450333937,0.839594265725925,0.867714589963101,0.969676736780843,0.902842642551685,0.808984749148717,0.767579695043621,-0.0463369871381822,0.142707046824383,NA,NA,NA,NA,NA,0.93440889811901,0.870766497954387,0.80257149516044,0.619785230630957,0.179849809351447,0.962513012559044,0.859441874741204,-0.585050810677368,-0.49852833377045,-0.588148299992308,-0.701165580144565,-0.616483705459832,0.542713968143587,0.677669874484798,0.551908180785499,-0.526973908794323
"Inadimplencia_PF_Total",0.472101979480522,0.161493854672908,1,1,0.944005234113327,0.297451563684445,0.697683390482289,0.709888210896586,0.43983578481923,NA,NA,0.629616852300997,0.807450267798583,0.6966837856202,0.840954533701606,0.68871322627051,0.529464924698154,0.804343264644295,0.895863635484357,0.922049898348731,0.865953399537885,0.949301700570785,0.900031355648442,0.827315281434527,-0.62815858705026,0.183254680586344,NA,NA,NA,NA,NA,0.91838146155588,0.869304816477578,0.753639001060658,0.702495819672482,0.0762983279914575,0.930797584476794,0.852394000423186,-0.625948091274361,-0.582229479162464,-0.672109331391513,-0.872051721758308,-0.73555805986212,0.633731242997395,0.771230033290382,0.670863972093144,-0.564806902213968
"Inadimplencia_PF_Total_modalidades",0.472101979480522,0.161493854672908,1,1,0.944005234113327,0.297451563684445,0.697683390482289,0.709888210896586,0.43983578481923,NA,NA,0.629616852300997,0.807450267798583,0.6966837856202,0.840954533701606,0.68871322627051,0.529464924698154,0.804343264644295,0.895863635484357,0.922049898348731,0.865953399537885,0.949301700570785,0.900031355648442,0.827315281434527,-0.62815858705026,0.183254680586344,NA,NA,NA,NA,NA,0.91838146155588,0.869304816477578,0.753639001060658,0.702495819672482,0.0762983279914575,0.930797584476794,0.852394000423186,-0.625948091274361,-0.582229479162464,-0.672109331391513,-0.872051721758308,-0.73555805986212,0.633731242997395,0.771230033290382,0.670863972093144,-0.564806902213968
"Inadimplencia_Recursos_Livres_Total",0.614202592878831,0.356991434420346,0.944005234113327,0.944005234113327,1,0.407467635086151,0.778213832313029,0.749081965581888,0.509438250811313,NA,NA,0.599056878177109,0.775126698231824,0.65735490452597,0.835919984652613,0.657441675135037,0.502374887641242,0.794093580570739,0.91549279274933,0.931857757867193,0.922407759346584,0.950680553927161,0.906026009251692,0.852121888912674,-0.652882067988265,0.216620005034132,NA,NA,NA,NA,NA,0.897490570202056,0.837992872391006,0.752615159865426,0.653820560930811,0.0652012268724909,0.921627003884655,0.820856201949785,-0.642020090578397,-0.487367828437827,-0.598163791598986,-0.837946794662388,-0.654540814066068,0.656108978860561,0.788696079130929,0.69510090945589,-0.554433084746498
"Inadimplencia_Cheque_Especial",0.117858070009677,0.461716250847669,0.297451563684445,0.297451563684445,0.407467635086151,1,0.76236182875226,0.198461824675132,0.0484461544567077,NA,NA,-0.0362434026466252,0.192122736757122,0.0450783157541197,0.579260148847886,0.0412573419525571,-0.137679911294882,0.146397011841671,0.284701468049658,0.364556989922951,0.441281581948667,0.446879197212443,0.312797103966688,0.172926886634417,0.0402527786506146,0.26241996072437,NA,NA,NA,NA,NA,0.894600077905103,0.886211203619726,0.734197604678565,0.59293910882905,0.134059358647519,0.897404319090241,0.838245275286049,-0.514799316133143,-0.469587213056678,-0.52524404436051,-0.896784006496146,-0.639278917748879,0.582218303215753,0.70665140393896,0.672364426525825,-0.539381844975431
"Inadimplencia_Credito_Pessoal_Nao_Consignado",0.470049406045683,0.612288950266034,0.697683390482289,0.697683390482289,0.778213832313029,0.76236182875226,1,0.524193150081669,0.222777522283126,NA,NA,0.116292282739698,0.375864455079471,0.198932043979955,0.764937564034106,0.192933310674517,-0.0145361464239871,0.420793937512227,0.618587886204971,0.682259205553423,0.786340895134893,0.7615519559989,0.62318783600229,0.498387458842349,-0.205743630283582,0.127856306648439,NA,NA,NA,NA,NA,0.922469916246786,0.852475903913405,0.77943837094914,0.683169321685292,0.0993262977952806,0.947224580026144,0.845918334060296,-0.598135104786994,-0.538454515978005,-0.6290790191273,-0.820358721337837,-0.672933321622958,0.605175205227699,0.745142297634618,0.632634586325401,-0.562761523286597
"Inadimplencia_Composicao_Dividas",0.552091243336214,0.308494376047826,0.709888210896586,0.709888210896586,0.749081965581888,0.198461824675132,0.524193150081669,1,0.494239236944782,NA,NA,0.421476820692171,0.623822186679937,0.505051740146371,0.817653108385958,0.530386611676016,0.371577160285926,0.572279504645222,0.827199570399701,0.843028347353097,0.881426680763331,0.855464395480798,0.799663738931514,0.783655598759203,-0.685656767011494,0.0571964701608332,NA,NA,NA,NA,NA,0.638546733543957,0.60252484395421,0.865086470492982,-0.0076218936119197,0.724659073321277,0.652668282291194,0.653018766843649,-0.00445810645475271,0.369418475645774,0.343115444303418,-0.35626064272848,0.235538415837239,0.107939513888447,0.175597697575696,0.320236019534218,-0.331838373136574
"Inadimplencia_Consignado_Privado",0.51159772425149,0.263375039075165,0.43983578481923,0.43983578481923,0.509438250811313,0.0484461544567077,0.222777522283126,0.494239236944782,1,NA,NA,0.647987670560925,0.724365017832571,0.721304904878289,0.594903106845054,0.746249933164397,0.681734817422724,0.716588888353629,0.75633489594243,0.745468759800698,0.574763402287479,0.699359844313842,0.755752820415051,0.781036944821443,-0.656583649719276,0.463327106856388,NA,NA,NA,NA,NA,-0.00255265843020299,-0.139676618805404,-0.0194151352312109,0.340422959659389,0.025502502980586,0.0110857072512194,-0.00256889439811913,0.271932168161118,-0.279912539734408,-0.189535382890149,0.524123694519789,-0.0122803175525897,-0.344683013043825,-0.311477296940547,-0.659873799503838,0.107793258974087
"Inadimplencia_Nao_Consignado_Com_Garantia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
