Data_Trimestre,Selic_Meta,Inadimplencia_PF_Total_modalidades,Inadimplencia_Recursos_Livres_Total,Inadimplencia_Cheque_Especial,Inadimplencia_Credito_Pessoal_Nao_Consignado,Inadimplencia_Composicao_Dividas,Inadimplencia_Consignado_Privado,Inadimplencia_Nao_Consignado_Com_Garantia,Inadimplencia_Nao_Consignado_Sem_Garantia,Itau_NPL90_Total_pct,Itau_NPL90_Brasil_pct,Itau_NPL90_PF_Brasil_pct,Itau_NPL90_MPME_Brasil_pct,Itau_NPL90_Grandes_Empresas_Brasil_pct
2018-01-01,6.8277777777777775,3.7,5.17,13.97,7.81,16.49,4.41,,,3.1399999999999997,3.73,4.58,4.13,1.77
2018-04-01,6.5,3.52,5.04,13.3,7.63,15.66,4.430000000000001,,,2.8099999999999996,3.37,4.49,3.56,0.9600000000000001
2018-07-01,6.5,3.4699999999999998,5.05,14,7.470000000000001,15.44,4.38,,,2.8499999999999996,3.5000000000000004,4.51,3.27,1.5599999999999996
2018-10-01,6.5,3.3,4.88,15.360000000000001,7.42,15.219999999999999,4.39,,,2.9099999999999997,3.51,4.43,3.01,1.77
2019-01-01,6.5,3.4099999999999997,4.81,13.370000000000001,7.4,15.06,4.159999999999999,,,3.02,3.6799999999999997,4.41,2.74,2.7
2019-04-01,6.5,3.4,4.87,14.05,7.76,14.739999999999998,3.9899999999999998,,,2.8799999999999994,3.45,4.48,2.4299999999999997,1.81
2019-07-01,6.103260869565218,3.6,5.07,15.69,7.859999999999999,14.56,3.9699999999999998,,,2.8699999999999997,3.4299999999999997,4.669999999999999,2.34,1.37
2019-10-01,5.054347826086956,3.56,5.1,17.57,8.129999999999999,14.55,4.14,,,2.9699999999999998,3.3499999999999996,4.81,2.34,0.52
2020-01-01,4.277472527472527,4,5.29,15.32,8.39,14.8,4.2700000000000005,,,3.07,3.52,5.129999999999999,2.34,1.0999999999999996
2020-04-01,3.1895604395604398,3.67,5.39,16.64,7.91,10.46,4.2,,,2.6599999999999997,3.2100000000000004,5.02,1.95,0.7000000000000001
2020-07-01,2.097826086956522,3.19,4.73,14.97,6.109999999999999,7.2,4.21,,,2.18,2.62,4.25,1.37,0.5099999999999999
2020-10-01,2,2.8899999999999997,4.23,13.44,5.359999999999999,10.139999999999999,4.33,,,2.29,2.69,4.2,1.7399999999999995,0.37
2021-01-01,2.1166666666666667,2.92,4.09,9.78,5.34,12.84,4.2,,,2.3299999999999996,2.69,3.8600000000000003,2.4499999999999997,0.36
2021-04-01,3.326923076923077,2.9099999999999997,4.1,9.450000000000001,5.2,12.96,4.03,,,2.3299999999999996,2.67,3.62,2.63,0.32
2021-07-01,4.956521739130435,3.01,4.29,10,5.13,12.629999999999999,4.18,,,2.58,2.8099999999999996,3.55,2.5700000000000003,1.06
2021-10-01,7.684782608695652,3.05,4.45,11.51,5.21,12.66,4.63,,,2.4699999999999998,2.75,3.7600000000000002,2.3199999999999994,0.52
2022-01-01,10.366666666666667,3.4499999999999997,4.94,11.12,6,13.2,4.85,,,2.63,2.9299999999999997,4.109999999999999,2.26,0.45999999999999996
2022-04-01,12.458791208791208,3.57,5.34,11.56,6.859999999999999,14.46,4.67,,,2.74,3.04,4.43,2.1999999999999997,0.1
2022-07-01,13.565217391304348,3.8,5.8,12.739999999999998,7.75,15.05,5.359999999999999,,,2.8199999999999994,3.2399999999999998,4.72,2.27,0.060000000000000005
2022-10-01,13.75,3.94,6.02,13.55,8.139999999999999,16.150000000000002,4.6,,,2.9399999999999995,3.42,4.92,2.4,0.03
2023-01-01,13.75,4.109999999999999,6.1899999999999995,12.4,8.139999999999999,16.3,3.79,,,2.92,3.39,4.87,2.3,0.05
2023-04-01,13.75,4.25,6.42,12.96,8.08,18.93,4.05,,,3.01,3.5000000000000004,4.93,2.53,0.08
2023-07-01,13.375,4,6.07,11.93,7.29,17.150000000000002,5.25,,,3.03,3.49,4.89,2.5999999999999996,0.08
2023-10-01,12.326086956521738,3.75,5.73,13.629999999999999,6.75,15.69,5.94,,,2.8299999999999996,3.2100000000000004,4.39,2.59,0.05
2024-01-01,11.35989010989011,3.71,5.58,12.04,6.44,16.87,6.68,,,2.71,3.05,4.159999999999999,2.46,0.08
2024-04-01,10.604395604395604,3.71,5.59,12.370000000000001,6.48,17.85,6.53,,,2.67,3.04,4.18,2.51,0.09000000000000002
2024-07-01,10.532608695652174,3.8299999999999996,5.6899999999999995,13.25,6.49,18.130000000000003,6.83,,,2.59,2.92,4.04,2.3299999999999996,0.02
2024-10-01,11.266304347826088,3.63,5.4,12.65,6.46,18.04,7.39,,,1.9572135629326521,2.0907258431064357,3.78461967307949,1.7368145696400181,0.12756491487481977
2025-01-01,13.061111111111112,4.03,5.91,12.6,7.319999999999999,18,7.74,,,,,,,
2025-04-01,14.57967032967033,4.41,6.5,13.96,8.25,18.919999999999998,6.56,,,,,,,
2025-07-01,15,4.89,6.89,14.44,8.78,19.610000000000003,5.17,,,,,,,
2025-10-01,15,5.119999999999999,7.06,17.330000000000002,9.16,19.37,5.51,2.4899999999999998,12.18,,,,,
2026-01-01,14.963888888888889,5.4,7.25,16.12,9.729999999999999,19.18,6.75,2.19,13.16,1.9024627070783184,2.052465945192335,3.594870963688294,1.8506912013956476,0.09133396131920701
2026-04-01,14.543956043956044,5.57,7.63,16.14,10.56,17.43,8.629999999999999,2.32,14.34,,,,,
