Data_Trimestre,Selic_Meta,Itau_NPL90_Total_pct,Serasa_Populacao_Adulta_pct,Inadimplencia_PF_Total_modalidades
2018-01-01,6.8277777777777775,3.1399999999999997,39.772542829122486,3.7
2018-04-01,6.5,2.8099999999999996,40.253437240389104,3.52
2018-07-01,6.5,2.8499999999999996,39.98757921880442,3.4699999999999998
2018-10-01,6.5,2.9099999999999997,40.85890366382117,3.3
2019-01-01,6.5,3.02,41.034175631052854,3.4099999999999997
2019-04-01,6.5,2.8799999999999994,41.23367736198536,3.4
2019-07-01,6.103260869565218,2.8699999999999997,40.902571919700414,3.6
2019-10-01,5.054347826086956,2.9699999999999998,40.85326874972058,3.56
2020-01-01,4.277472527472527,3.07,41.70773347584642,4
2020-04-01,3.1895604395604398,2.6599999999999997,41.03170584410713,3.67
2020-07-01,2.097826086956522,2.18,40.14592393063706,3.19
2020-10-01,2,2.29,39.15890985788925,2.8899999999999997
2021-01-01,2.1166666666666667,2.3299999999999996,39.83037711972252,2.92
2021-04-01,3.326923076923077,2.3299999999999996,39.70830399782403,2.9099999999999997
2021-07-01,4.956521739130435,2.58,39.463213812204444,3.01
2021-10-01,7.684782608695652,2.4699999999999998,40.495240878866284,3.05
2022-01-01,10.366666666666667,2.63,41.49907768220885,3.4499999999999997
2022-04-01,12.458791208791208,2.74,42.12122531337778,3.57
2022-07-01,13.565217391304348,2.8199999999999994,43.01600920512249,3.8
2022-10-01,13.75,2.9399999999999995,43.57294926001508,3.94
2023-01-01,13.75,2.92,44.275414865609214,4.109999999999999
2023-04-01,13.75,3.01,44.64211750288807,4.25
2023-07-01,13.375,3.03,44.76948850806541,4
2023-10-01,12.326086956521738,2.8299999999999996,44.21812416845493,3.75
2024-01-01,11.35989010989011,2.71,45.22765873658212,3.71
2024-04-01,10.604395604395604,2.67,44.87902064636084,3.71
2024-07-01,10.532608695652174,2.59,44.86644784888689,3.8299999999999996
2024-10-01,11.266304347826088,1.9572135629326521,45.30560293824243,3.63
2026-01-01,14.963888888888889,1.9024627070783184,50.50837716885126,5.4
