Data_Trimestre,Selic_Meta,Taxa_Media_Juros_Credito,Inadimplencia_PF_Total,Inadimplencia_PF_Total_modalidades,Inadimplencia_Recursos_Livres_Total,Inadimplencia_Cheque_Especial,Inadimplencia_Credito_Pessoal_Nao_Consignado,Inadimplencia_Composicao_Dividas,Inadimplencia_Consignado_Privado,Inadimplencia_Nao_Consignado_Com_Garantia,Inadimplencia_Nao_Consignado_Sem_Garantia,Serasa_Inadimplentes_milhoes,Serasa_Dividas_Negativadas_milhoes,Serasa_Dividas_Negativadas_R_bilhoes,Serasa_Dividas_Media_por_CPF,Serasa_Divida_Media_R,Serasa_Ticket_Medio_R,Serasa_Populacao_Adulta_pct,Serasa_Genero_F_milhoes,Serasa_Genero_M_milhoes,Serasa_Ate_25_milhoes,Serasa_26_40_milhoes,Serasa_41_60_milhoes,Serasa_Acima_60_milhoes,PNAD_Taxa_Desocupacao_pct,PNAD_Rendimento_Medio_R,Itau_NPL90_Total_pct,Itau_NPL90_Brasil_pct,Itau_NPL90_PF_Brasil_pct,Itau_NPL90_MPME_Brasil_pct,Itau_NPL90_Grandes_Empresas_Brasil_pct,Itau_Carteira_PF_Total_R_milhoes,Itau_Carteira_Cartao_Credito_R_milhoes,Itau_Carteira_Credito_Pessoal_R_milhoes,Itau_Carteira_Credito_Consignado_R_milhoes,Itau_Carteira_Veiculos_R_milhoes,Itau_Carteira_Credito_Imobiliario_R_milhoes,Itau_Carteira_MPME_R_milhoes,Itau_Cobertura_Estagio3_PF_Brasil_pct,Itau_Cobertura_Estagio3_PJ_Brasil_pct,Itau_Cobertura_Estagio3_Brasil_pct,Itau_Cobertura_Estagio3_America_Latina_pct,Itau_Cobertura_Estagio3_Total_pct,Itau_NPL_Creation_Total_R_milhoes,Itau_NPL_Creation_Varejo_Brasil_R_milhoes,Itau_NPL_Creation_Atacado_Brasil_R_milhoes,Itau_NPL_Creation_America_Latina_R_milhoes
2014-10-01,11.32258064516129,49.096666666666664,3.86,3.86,5.513333333333333,14.456666666666667,7.566666666666666,17.669999999999998,5.013333333333334,,,,,,,,,,,,,,,,6.6,3341,,,,,,,,,,,,,,,,,,,,,
2015-01-01,12.28225806451613,52.410000000000004,3.78,3.78,5.333333333333333,13.403333333333332,7.6866666666666665,16.493333333333332,5.243333333333333,,,,,,,,,,,,,,,,8,3340,,,,,,,,,,,,,,,,,,,,,
2015-04-01,13.238888888888889,56.2,3.7933333333333334,3.7933333333333334,5.3966666666666665,14.043333333333335,7.486666666666666,15.796666666666667,5.163333333333333,,,,,,,,,,,,,,,,8.4,3326,,,,,,,,,,,,,,,,,,,,,
2015-07-01,14.094086021505376,60.06666666666667,3.9066666666666663,3.9066666666666663,5.663333333333333,15.246666666666666,7.873333333333333,15.916666666666666,5.246666666666667,,,,,,,,,,,,,,,,9,3286,,,,,,,,,,,,,,,,,,,,,
2015-10-01,14.25,63.370000000000005,4.21,4.21,6.036666666666667,15.813333333333334,8.94,16.883333333333333,5.546666666666667,,,,,,,,,,,,,,,,9.1,3232,,,,,,,,,,,,,,,,,,,,,
2016-01-01,14.25,67.23333333333333,4.33,4.33,6.276666666666666,16.143333333333334,10.02,17.616666666666667,5.696666666666666,,,59.19091350239617,231.328,214.5540761959106,3.908167424897664,3624.7806208840652,927.4885711885746,,,,,,,,11,3238,,,,,,,,,,,,,,,,,,,,,
2016-04-01,14.25,70.43333333333334,4.273333333333333,4.273333333333333,6.32,14.69,10.153333333333332,17.71666666666667,5.433333333333334,,,59.232,230.58266666666665,224.8037011632332,3.892812116948806,3795.4697611579686,975.0185169927638,,,,,,,,11.4,3198,,,,,,,,,,,,,,,,,,,,,
2016-07-01,14.25,71.50333333333333,4.183333333333334,4.183333333333334,6.293333333333333,15.833333333333334,9.8533333333333335,17.633333333333333,5.18,,,58.766,226.31066666666666,226.07446251019132,3.851072961699884,3847.014555147209,998.9757785288505,,,,,,,,11.9,3224,,,,,,,,,,,,,,,,,,,,,
2016-10-01,13.96774193548387,72.26333333333334,4.126666666666667,4.126666666666667,6.176666666666667,16.14666666666667,9.216666666666665,17.84333333333333,5.056666666666667,,,58.99366666666667,225.60433333333333,228.58336778614685,3.8239823039214307,3874.741746438605,1013.6411185625827,39.601867437110414,,,,,,,12.1,3252,,,,,,,,,,,,,,,,,,,,,
2017-01-01,12.785138248847925,71.67333333333333,4.053333333333333,4.053333333333333,6.0200000000000005,15.856666666666667,8.836666666666666,17.88,4.95,,,59.086999999999996,226.93166666666667,229.68121630793976,3.840644855913251,3887.1671180469516,1012.1373883011456,39.44708967684188,,,,,,,13.9,3293,,,,,,,,,,,,,,,,,,,,,
